17:17:16.231 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
20:51:22.098 [Worker-136: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:53:06.082 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:53:06.106 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:53:06.107 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:57:17.897 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:57:17.900 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:57:17.901 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:57:17.903 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:57:17.904 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:57:40.271 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
20:57:40.271 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:57:40.272 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
20:57:40.273 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
20:57:40.273 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:57:40.275 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
20:57:41.339 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
20:57:41.339 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:57:41.340 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
20:57:41.341 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
20:57:41.341 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:57:41.342 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
20:57:43.377 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
20:57:43.377 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:57:43.378 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
20:57:43.379 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
20:57:43.379 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:57:43.380 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
20:58:13.253 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:58:13.255 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:58:13.256 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:58:13.258 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:58:45.326 [Worker-140: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:58:45.328 [Worker-140: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:58:45.331 [Worker-140: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:58:45.333 [Worker-140: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:59:08.746 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
20:59:08.746 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:59:08.749 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
20:59:08.749 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
20:59:08.749 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:59:08.750 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
21:00:12.414 [Worker-139: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:00:12.416 [Worker-139: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:00:12.418 [Worker-139: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:00:12.420 [Worker-139: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:00:30.023 [Worker-139: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:00:30.024 [Worker-139: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:00:30.026 [Worker-139: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:00:30.027 [Worker-139: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:05:30.343 [Worker-133: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:05:30.346 [Worker-133: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:05:30.347 [Worker-133: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:05:30.348 [Worker-133: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:10:24.398 [Worker-138: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:10:24.400 [Worker-138: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:10:24.401 [Worker-138: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:10:24.402 [Worker-138: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:15:28.859 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:15:28.880 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:15:28.884 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:15:28.886 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:17:18.863 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:17:18.864 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:17:18.866 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:17:18.870 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:36:09.347 [Worker-144: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:36:09.376 [Worker-144: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:36:09.379 [Worker-144: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:36:09.380 [Worker-144: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:37:14.705 [Worker-142: Launching demoTest.setup] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:37:14.707 [Worker-142: Launching demoTest.setup] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:37:14.709 [Worker-142: Launching demoTest.setup] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:37:14.710 [Worker-142: Launching demoTest.setup] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:37:16.499 [Worker-142: Launching demoTest.setup] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:37:29.277 [Worker-145: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:37:29.281 [Worker-145: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:37:29.282 [Worker-145: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:38:05.348 [Worker-149: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:38:05.348 [Worker-149: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:38:05.351 [Worker-149: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:38:05.351 [Worker-149: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:39:49.816 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:39:49.817 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:39:49.819 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:39:49.820 [Worker-133: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:45:08.615 [Worker-151: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:45:08.617 [Worker-151: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:45:08.619 [Worker-151: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:45:08.620 [Worker-151: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:46:06.606 [Worker-152: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:46:06.607 [Worker-152: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:46:06.611 [Worker-152: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:46:06.611 [Worker-152: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:48:22.380 [Worker-151: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:48:22.381 [Worker-151: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:48:22.383 [Worker-151: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:48:22.384 [Worker-151: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:49:29.841 [Worker-146: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:49:29.843 [Worker-146: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:49:29.845 [Worker-146: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:49:29.845 [Worker-146: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:51:00.924 [Worker-151: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:51:00.926 [Worker-151: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:51:00.930 [Worker-151: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:51:00.931 [Worker-151: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:52:08.051 [Worker-149: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:52:08.053 [Worker-149: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:52:08.054 [Worker-149: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:52:08.055 [Worker-149: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
21:55:15.856 [Worker-159: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
21:55:15.859 [Worker-159: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
21:55:15.862 [Worker-159: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
21:55:15.863 [Worker-159: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:16:48.238 [Worker-166: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:16:48.249 [Worker-166: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:16:48.252 [Worker-166: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:16:48.253 [Worker-166: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:17:20.306 [Worker-165: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:17:20.307 [Worker-165: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:17:20.309 [Worker-165: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:17:20.310 [Worker-165: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:21:47.374 [Worker-170: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:21:47.377 [Worker-170: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:21:47.380 [Worker-170: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:21:47.381 [Worker-170: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:22:13.741 [Worker-170: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:22:13.742 [Worker-170: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:22:13.743 [Worker-170: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:22:13.745 [Worker-170: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:30:55.133 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:30:55.139 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:30:55.141 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:30:55.142 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:31:42.668 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:31:42.670 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:31:42.673 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:31:42.673 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:35:13.882 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:35:13.885 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:35:13.888 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:35:13.890 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:35:54.739 [Worker-181: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:35:54.740 [Worker-181: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:35:54.763 [Worker-181: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:35:54.763 [Worker-181: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:36:19.935 [Worker-167: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:36:19.936 [Worker-167: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:36:19.938 [Worker-167: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:36:19.939 [Worker-167: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:36:50.129 [Worker-181: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:36:50.130 [Worker-181: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:36:50.131 [Worker-181: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:36:50.131 [Worker-181: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:39:17.212 [Worker-183: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:39:17.216 [Worker-183: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:39:17.219 [Worker-183: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:39:17.220 [Worker-183: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:42:36.275 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:42:36.277 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:42:36.279 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:42:36.280 [Worker-172: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:46:46.908 [Worker-167: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:46:46.919 [Worker-167: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:46:46.923 [Worker-167: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:46:46.924 [Worker-167: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:47:44.691 [Worker-186: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:47:44.694 [Worker-186: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:47:44.697 [Worker-186: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:47:44.698 [Worker-186: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:51:59.288 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:51:59.315 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:51:59.319 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:51:59.321 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:52:01.497 [Worker-184: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
22:52:23.437 [Worker-182: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
22:52:23.439 [Worker-182: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:52:23.439 [Worker-182: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
22:53:22.188 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
22:53:22.194 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
22:53:22.197 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
22:53:22.198 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
